ds,yhat,yhat_lower,yhat_upper
2024-10-15,6175362.700408829,3441384.1669350783,8627305.00362246
2024-10-16,5952747.084870647,3396063.920813094,8443706.453267695
2024-10-17,5175659.880973437,2556791.4584399476,7846202.466444331
2024-10-18,6066153.491665731,3679678.008066667,8666138.71388517
2024-10-19,6336512.323435019,3817800.11429342,8960245.442611376
2024-10-20,5992211.134417876,3502044.318459899,8532965.758926703
2024-10-21,5807760.3318783,3126845.9739514915,8318999.6735935295
2024-10-22,5870268.620369356,3248176.0821877555,8289301.186884021
2024-10-23,4699657.917515844,2212904.5520533263,7422560.276288957
2024-10-24,4750331.827961498,2155108.4742201744,7423636.016403017
2024-10-25,5426056.573974621,2855866.6950722164,7827317.880872877
2024-10-26,5575947.296505442,2942615.0559485764,8141844.567147247
2024-10-27,5649139.522295476,3159572.0706695267,8344686.024277506
2024-10-28,5465140.338356497,2857798.1239633905,8091912.381772467
2024-10-29,6151137.907278042,3699773.8420714363,8837126.774317143
2024-10-30,5088566.724777323,2492626.242528573,7543929.902550531
2024-10-31,5261499.84332553,2607211.2758943117,8010523.460270893
2024-11-01,6589915.141485058,4023982.994893499,9397815.861760011
2024-11-02,5889588.8431652,3232922.5316339247,8577730.721363027
2024-11-03,5494957.120920858,2908559.878645916,8074124.091338646
2024-11-04,5711014.092645452,3068717.9009159375,8291518.362586381
2024-11-05,6287715.66120917,3722218.637003074,8871809.623804681
2024-11-06,6413566.76613449,3834065.867761899,8723074.208556343
2024-11-07,8177816.394465806,5525379.298149267,10709354.769372035
2024-11-08,6379802.811215767,3871304.165751012,8983768.619270341
2024-11-09,6345317.4900983665,3859646.7608415713,9062880.589742918
2024-11-10,5737911.444837126,3312322.795652321,8447419.30406341
2024-11-11,6258298.009516623,3709156.589431916,8802805.120457232
2024-11-12,5857390.597123048,3271912.555999071,8459795.296256809
2024-11-13,6157428.126338503,3394290.134135756,8712479.042852165
2024-11-14,5734479.984934383,3470672.7584991856,8409873.49751624
2024-11-15,7215028.701013747,4574256.361257664,9737340.694763614
2024-11-16,6561119.962534407,3922774.4562736205,9142464.339044193
2024-11-17,6521096.251001813,3948931.937074839,9182178.74324089
2024-11-18,5932028.784619272,3345138.0592908626,8615832.861643575
2024-11-19,6637949.474074174,4043957.190919245,9120441.68770084
2024-11-20,6976579.6651393855,4470636.740041427,9553846.453432815
2024-11-21,6373851.870252472,3773608.5664519826,8931942.230260385
2024-11-22,6567858.180888118,3982291.585937091,9210163.270991176
2024-11-23,6484479.818243104,3855236.122643941,9011747.081361718
2024-11-24,6104086.890369647,3547842.751464704,8758520.813724345
2024-11-25,6610745.509611363,4259595.306665805,9182808.055221139
2024-11-26,6899091.858294494,4207963.4797015535,9347408.562357966
2024-11-27,6534602.8213043725,3621614.964693103,9178376.67284922
2024-11-28,6545209.028230021,3868219.755405615,9243839.83916572
2024-11-29,6670188.867262674,4010865.066968327,9288906.507644437
2024-11-30,7018798.074256747,4423316.151290793,9705206.248563604
2024-12-01,6320189.685570017,3862305.4935817546,8991128.774014119
2024-12-02,6349069.001768675,3807415.671530559,8725251.824190753
2024-12-03,6937593.714548794,4315288.250650465,9444439.776090542
2024-12-04,6078119.408137226,3417907.5015577083,8545590.333062178
2024-12-05,5989377.693548,3544555.2179155704,8719407.438672425
2024-12-06,6545485.642987488,3911377.7930457396,9284621.668427546
2024-12-07,6314575.755190299,3716979.613390319,8875178.095760552
2024-12-08,5677975.565730797,3099804.8983364487,8452014.952412153
2024-12-09,5425127.313665961,2800715.667358704,8080321.7479688125
2024-12-10,6228995.411447745,3592851.846264401,8835521.317393446
2024-12-11,5759509.452150176,3363668.6094280896,8331700.736438288
2024-12-12,5499362.709036747,2809889.747467586,8270662.423746311
2024-12-13,6628043.773024184,4023984.5373334326,9151710.914701108
2024-12-14,6155769.641627259,3665279.042025753,8703879.48489144
2024-12-15,6268464.569634928,3598128.959706307,8628798.783922581
2024-12-16,5830900.945347221,3188508.890346471,8544454.005263023
2024-12-17,5907509.306622331,3339027.520982034,8548892.08308955
2024-12-18,5637379.444444714,2972844.7703302763,8127790.057585954
2024-12-19,6064214.374397098,3413886.814706426,8872670.87777175
2024-12-20,7219698.335748465,4813728.450257434,9817971.58868401
2024-12-21,6573220.279860265,4051812.6319219503,9303487.995531369
2024-12-22,6717426.616948817,4036551.944562229,9338399.562126083
2024-12-23,6329381.617821317,3626758.209790558,8737829.11304796
2024-12-24,6718661.745333593,3925693.2384641496,9180385.305602718
2024-12-25,6630207.885471506,4220165.254898648,9258727.773493893
2024-12-26,6497009.416971619,4055962.3677976215,9128156.93641071
2024-12-27,7797241.678579625,5203019.289222639,10592988.153697051
2024-12-28,6293704.574986939,3706665.8090647976,8967598.500446213
2024-12-29,6390184.662544429,3713177.6960655525,9047661.687970933
2024-12-30,6235877.914977395,3384463.8149694256,8796323.496943075
2024-12-31,7501554.8652418405,5062552.172467014,10043948.93807951
2025-01-01,7148946.800774082,4549049.781443752,9718052.919222767
2025-01-02,6808835.317775776,4128050.1942826714,9415888.873107824
2025-01-03,7563105.620066078,4785402.432365104,10206118.491935637
2025-01-04,7351208.543062093,4675163.826270878,9966689.51988159
2025-01-05,6866638.27669456,4320016.2152684415,9390799.70967631
2025-01-06,6909027.388510076,4424062.324396893,9420384.527946113
2025-01-07,7286309.589319972,4673958.805690608,9888469.171094412
2025-01-08,6840567.870380151,4378497.727838337,9637231.979904816
2025-01-09,6409114.013851959,3763743.1118397396,9208735.313209658
2025-01-10,7075616.128422117,4269037.795667509,9603196.936776469
2025-01-11,6781255.21461502,4113745.512236479,9428000.69307148
2025-01-12,6221165.195698283,3645444.4694511406,8874760.989939196
2025-01-13,6196492.334488848,3568738.752760269,8749890.77289696
2025-01-14,6516525.319109184,3841395.132661423,9082948.110833973
2025-01-15,6024514.408395452,3368838.996121274,8540701.895586355
2025-01-16,5558726.302392047,3173819.574216744,8342436.016151618
2025-01-17,6203551.93897532,3623699.961611492,8781962.697498469
2025-01-18,5900648.642713678,3223381.211185743,8435479.625199141
2025-01-19,5345371.346126187,2775586.7606995585,8042821.395855013
2025-01-20,5338828.944942889,2991238.6903283168,8042636.624624409
2025-01-21,5690017.066793858,3156589.493712578,8385605.189935529
2025-01-22,5241645.497613159,2821344.987024521,7864817.5905806115
2025-01-23,4831206.648015212,2229357.195100532,7416376.1122296015
2025-01-24,5542101.850078865,3032689.2704473776,8079063.508119142
2025-01-25,5314806.38586884,2521506.685229705,7901155.077511803
2025-01-26,4843327.344380486,2216071.2477954538,7479834.19875712
2025-01-27,4927289.664873685,1971645.1261532353,7466715.362514285
2025-01-28,5374100.882175452,2906903.6495492836,8020099.264517096
2025-01-29,5024812.015816685,2208117.947602751,7615892.016135241
2025-01-30,4715220.166187515,2145877.023507092,7439700.681599026
2025-01-31,5527028.794742949,2783959.685965156,8386923.875716106
2025-02-01,5399045.803235528,2693203.425586524,7959949.411074834
2025-02-02,5023672.769760146,2204208.406134369,7523612.462097126
2025-02-03,5199020.026695783,2540928.64628075,7809929.065006603
2025-02-04,5731097.505391569,3226611.56016107,8479664.01770893
2025-02-05,5459698.294577654,3028578.009887178,8073714.26718098
2025-02-06,5219520.087009505,2473496.068222635,7778969.789920367
2025-02-07,6091340.216200306,3459837.192937295,8583068.324301204
2025-02-08,6013224.240127501,3599994.289130596,8799974.20802423
2025-02-09,5677021.3891049195,3052569.30797542,8421950.933892056
2025-02-10,5880481.636425577,3324039.1625222336,8470366.918246467
2025-02-11,6429444.497927617,3921473.0680045797,9005697.0765351
2025-02-12,6163716.787062766,3534926.542894842,8686852.421869624
2025-02-13,5918184.865638349,3408341.8642098154,8719455.936569527
2025-02-14,6773977.529702265,4265124.522284123,9184733.50950598
2025-02-15,6669659.980710572,4047661.4334929767,9394498.28672358
2025-02-16,6297712.730945804,3669192.626299892,8830073.136779677
2025-02-17,6456630.754091803,4005940.766789341,9098070.57184497
2025-02-18,6953093.542081901,4499288.531654584,9613448.359469322
2025-02-19,6627823.834755391,4115215.081894738,9358788.562038
2025-02-20,6316681.071321772,3734556.321817688,8775934.509408489
2025-02-21,7101806.165660186,4411195.19034399,9847423.065059215
2025-02-22,6922798.45931509,4464212.757102016,9494445.307719616
2025-02-23,6473179.035316027,3843483.4005023576,9133325.927891204
2025-02-24,6552475.960856597,4119639.3936500084,9177377.479776803
2025-02-25,6968382.294857908,4496563.14280233,9718428.911315944
2025-02-26,6562604.718037908,4149582.151072848,9220716.459971227
2025-02-27,6171948.842693308,3718941.1477235644,8818266.703546867
2025-02-28,6879457.7336936155,4184803.7803995623,9543361.553102674
2025-03-01,6625584.352072336,4121062.312845719,9205465.57878066
2025-03-02,6104651.899185252,3518964.9408211675,8689612.348934082
2025-03-03,6116937.372941787,3652510.0022423845,8518251.212414835
2025-03-04,6470828.877464539,3842106.967413106,9169969.965906525
2025-03-05,6008674.225056721,3267805.5849222653,8708549.470061928
2025-03-06,5567866.560086109,3105075.659894228,8206944.789419815
2025-03-07,6231983.2147875,3681986.0173482625,8772736.923874028
2025-03-08,5941958.207870354,3388585.3327802555,8751451.334504943
2025-03-09,5392542.098239969,2679407.615692444,7815504.300828811
2025-03-10,5384384.286913366,2752906.9780502003,8191717.485953882
2025-03-11,5726188.148007694,3079982.842089322,8498692.372431358
2025-03-12,5260556.433384448,2890285.184491618,7968510.850729031
2025-03-13,4825072.65832814,2100539.1482717507,7429148.401883851
2025-03-14,5503434.731003829,2903576.4704366,7994780.840957204
2025-03-15,5236621.36446156,2813601.2894164957,7926110.330945925
2025-03-16,4719345.183437657,2302996.9765472612,7580220.734656639
2025-03-17,4752127.885450796,2070599.147816834,7271635.768963707
